read 100000 bytes
nwrite = 18044, errno=0
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
nwrite = -1, errno=11
